name,group,order,family,species
black-bellied whistling-duck,ducks,anseriformes,anatidae,dendrocygna autumnalis
fulvous whistling-duck,ducks,anseriformes,anatidae,dendrocygna bicolor
emperor goose,geese,anseriformes,anatidae,anser canagicus
snow goose,geese,anseriformes,anatidae,anser caerulescens
ross's goose,geese,anseriformes,anatidae,anser rossii
greater white-fronted goose,geese,anseriformes,anatidae,anser albifrons
brant,geese,anseriformes,anatidae,branta bernicla
cackling goose,geese,anseriformes,anatidae,branta hutchinsii
canada goose,geese,anseriformes,anatidae,branta canadensis
mute swan,swans,anseriformes,anatidae,cygnus olor
trumpeter swan,swans,anseriformes,anatidae,cygnus buccinator
tundra swan,swans,anseriformes,anatidae,cygnus columbianus
muscovy duck,ducks,anseriformes,anatidae,cairina moschata
wood duck,ducks,anseriformes,anatidae,aix sponsa
blue-winged teal,ducks,anseriformes,anatidae,spatula discors
cinnamon teal,ducks,anseriformes,anatidae,spatula cyanoptera
northern shoveler,ducks,anseriformes,anatidae,spatula clypeata
gadwall,ducks,anseriformes,anatidae,mareca strepera
eurasian wigeon,ducks,anseriformes,anatidae,mareca penelope
american wigeon,ducks,anseriformes,anatidae,mareca americana
mallard,ducks,anseriformes,anatidae,anas platyrhynchos
american black duck,ducks,anseriformes,anatidae,anas rubripes
mottled duck,ducks,anseriformes,anatidae,anas fulvigula
northern pintail,ducks,anseriformes,anatidae,anas acuta
green-winged teal,ducks,anseriformes,anatidae,anas crecca
canvasback,ducks,anseriformes,anatidae,aythya valisineria
redhead,ducks,anseriformes,anatidae,aythya americana
ring-necked duck,ducks,anseriformes,anatidae,aythya collaris
greater scaup,ducks,anseriformes,anatidae,aythya marila
lesser scaup,ducks,anseriformes,anatidae,aythya affinis
steller's eider,ducks,anseriformes,anatidae,polysticta stelleri
king eider,ducks,anseriformes,anatidae,somateria spectabilis
common eider,ducks,anseriformes,anatidae,somateria mollissima
harlequin duck,ducks,anseriformes,anatidae,histrionicus histrionicus
surf scoter,ducks,anseriformes,anatidae,melanitta perspicillata
white-winged scoter,ducks,anseriformes,anatidae,melanitta fusca
black scoter,ducks,anseriformes,anatidae,melanitta americana
long-tailed duck,ducks,anseriformes,anatidae,clangula hyemalis
bufflehead,ducks,anseriformes,anatidae,bucephala albeola
common goldeneye,ducks,anseriformes,anatidae,bucephala clangula
barrow's goldeneye,ducks,anseriformes,anatidae,bucephala islandica
hooded merganser,ducks,anseriformes,anatidae,lophodytes cucullatus
common merganser,ducks,anseriformes,anatidae,mergus merganser
red-breasted merganser,ducks,anseriformes,anatidae,mergus serrator
ruddy duck,ducks,anseriformes,anatidae,oxyura jamaicensis
plain chachalaca,game birds,galliformes,cracidae,ortalis vetula
mountain quail,game birds,galliformes,odontophoridae,oreortyx pictus
northern bobwhite,game birds,galliformes,odontophoridae,colinus virginianus
scaled quail,game birds,galliformes,odontophoridae,callipepla squamata
california quail,game birds,galliformes,odontophoridae,callipepla californica
gambel's quail,game birds,galliformes,odontophoridae,callipepla gambelii
montezuma quail,game birds,galliformes,odontophoridae,cyrtonyx montezumae
chukar,game birds,galliformes,phasianidae,alectoris chukar
ring-necked pheasant,game birds,galliformes,phasianidae,phasianus colchicus
gray partridge,game birds,galliformes,phasianidae,perdix perdix
ruffed grouse,game birds,galliformes,phasianidae,bonasa umbellus
greater sage-grouse,game birds,galliformes,phasianidae,centrocercus urophasianus
gunnison sage-grouse,game birds,galliformes,phasianidae,centrocercus minimus
spruce grouse,game birds,galliformes,phasianidae,falcipennis canadensis
willow ptarmigan,game birds,galliformes,phasianidae,lagopus lagopus
rock ptarmigan,game birds,galliformes,phasianidae,lagopus muta
white-tailed ptarmigan,game birds,galliformes,phasianidae,lagopus leucura
dusky grouse,game birds,galliformes,phasianidae,dendragapus obscurus
sooty grouse,game birds,galliformes,phasianidae,dendragapus fuliginosus
sharp-tailed grouse,game birds,galliformes,phasianidae,tympanuchus phasianellus
greater prairie-chicken,game birds,galliformes,phasianidae,tympanuchus cupido
lesser prairie-chicken,game birds,galliformes,phasianidae,tympanuchus pallidicinctus
wild turkey,game birds,galliformes,phasianidae,meleagris gallopavo
red-throated loon,loons,gaviiformes,gaviidae,gavia stellata
pacific loon,loons,gaviiformes,gaviidae,gavia pacifica
common loon,loons,gaviiformes,gaviidae,gavia immer
least grebe,grebes,podicipediformes,podicipedidae,tachybaptus dominicus
pied-billed grebe,grebes,podicipediformes,podicipedidae,podilymbus podiceps
horned grebe,grebes,podicipediformes,podicipedidae,podiceps auritus
red-necked grebe,grebes,podicipediformes,podicipedidae,podiceps grisegena
eared grebe,grebes,podicipediformes,podicipedidae,podiceps nigricollis
western grebe,grebes,podicipediformes,podicipedidae,aechmophorus occidentalis
clark's grebe,grebes,podicipediformes,podicipedidae,aechmophorus clarkii
laysan albatross,seabirds,procellariiformes,diomedeidae,phoebastria immutabilis
black-footed albatross,seabirds,procellariiformes,diomedeidae,phoebastria nigripes
northern fulmar,seabirds,procellariiformes,procellariidae,fulmarus glacialis
fork-tailed storm-petrel,seabirds,procellariiformes,hydrobatidae,oceanodroma furcata
wood stork,storks,ciconiiformes,ciconiidae,mycteria americana
magnificent frigatebird,seabirds,suliformes,fregatidae,fregata magnificens
masked booby,seabirds,suliformes,sulidae,sula dactylatra
blue-footed booby,seabirds,suliformes,sulidae,sula nebouxii
brown booby,seabirds,suliformes,sulidae,sula leucogaster
red-footed booby,seabirds,suliformes,sulidae,sula sula
northern gannet,seabirds,suliformes,sulidae,morus bassanus
brandt's cormorant,cormorants,suliformes,phalacrocoracidae,phalacrocorax penicillatus
pelagic cormorant,cormorants,suliformes,phalacrocoracidae,phalacrocorax pelagicus
great cormorant,cormorants,suliformes,phalacrocoracidae,phalacrocorax carbo
neotropic cormorant,cormorants,suliformes,phalacrocoracidae,phalacrocorax brasilianus
double-crested cormorant,cormorants,suliformes,phalacrocoracidae,phalacrocorax auritus
anhinga,anhingas,suliformes,anhingidae,anhinga anhinga
american white pelican,pelicans,pelecaniformes,pelecanidae,pelecanus erythrorhynchos
brown pelican,pelicans,pelecaniformes,pelecanidae,pelecanus occidentalis
american bittern,herons,pelecaniformes,ardeidae,botaurus lentiginosus
least bittern,herons,pelecaniformes,ardeidae,ixobrychus exilis
great blue heron,herons,pelecaniformes,ardeidae,ardea herodias
great egret,herons,pelecaniformes,ardeidae,ardea alba
